index,square_area,square_in_use,bedroom,wc,num_floor,width,height,door,certificates,house_type,furniture_status,house_specific,price_m2,price_house
429,30.0,72.0,3.0,3.0,3.0,3.0,12.0,Đông Bắc,0,2,,Hẻm xe hơi,21667000000.0,650010000000.0
430,42.0,84.0,2.0,2.0,2.0,3.7,12.0,,0,2,,Nở hậu,9762000000.0,410004000000.0
431,72.0,72.0,1.0,2.0,1.0,6.0,12.0,,0,1,,,50000000.0,3600000000.0
432,64.0,64.0,2.0,2.0,1.0,4.2,15.0,,0,1,,,4219000000.0,270016000000.0
433,95.0,350.0,6.0,7.0,5.0,5.0,19.0,Bắc,0,1,,,15263000000.0,1449985000000.0
434,147.0,147.0,3.0,2.0,1.0,7.0,21.0,,0,4,,"Mặt tiền, Hẻm xe hơi",6361000000.0,935067000000.0
435,30.0,60.0,2.0,2.0,1.0,35.0,8.0,Tây,2,2,,Hẻm xe hơi,46000000.0,1380000000.0
436,32.5,32.5,2.0,2.0,1.0,6.5,5.0,,0,2,,Hẻm xe hơi,8875000000.0,288437500000.0
437,76.0,76.0,3.0,3.0,1.0,38.0,38.0,Tây Bắc,0,2,,Hẻm xe hơi,6053000000.0,460028000000.0
438,85.0,85.0,3.0,3.0,1.0,4.35,21.0,,0,2,,,6235000000.0,529975000000.0
439,152.0,379.0,5.0,6.0,2.0,8.0,19.0,Tây,0,2,,Hẻm xe hơi,113157.0,17199864.0
440,76.0,76.0,4.0,5.0,4.0,4.0,19.0,,0,1,,Hẻm xe hơi,10263000000.0,779988000000.0
441,42.4,85.0,1.0,1.0,2.0,4.0,10.5,Đông Bắc,0,2,Bàn giao thô,Nở hậu,9762000000.0,413908800000.0
442,84.5,141.6,3.0,3.0,2.0,4.0,23.0,Tây,0,2,Nội thất cao cấp,Nở hậu,7143000000.0,603583500000.0
443,21.0,65.0,2.0,2.0,3.0,36.0,6.0,Tây Nam,0,2,,,2381000000.0,50001000000.0
444,80.0,160.0,4.0,2.0,2.0,4.0,20.0,,0,1,,Hẻm xe hơi,1875000000.0,150000000000.0
445,98.0,98.0,3.0,3.0,1.0,7.0,14.0,,0,1,,,388000000.0,38024000000.0
446,16.4,32.8,2.0,2.0,1.0,4.9,4.1,Tây,0,2,,Hẻm xe hơi,150000000.0,2460000000.0
447,72.0,140.0,9.0,5.0,1.0,3.0,24.0,,0,2,,Hẻm xe hơi,5486000000.0,394992000000.0
448,450.0,450.0,3.0,2.0,1.0,10.0,45.0,,0,4,,Mặt tiền,64000000.0,28800000000.0
449,50.0,200.0,5.0,6.0,4.0,5.0,10.0,,0,0,Hoàn thiện cơ bản,"Hẻm xe hơi, Nở hậu",98000000.0,4900000000.0
450,75.0,75.0,3.0,3.0,1.0,37.5,37.5,,0,0,,,7533000000.0,564975000000.0
451,60.0,60.0,1.0,1.0,1.0,4.0,15.0,Đông,0,2,,Hẻm xe hơi,20000000.0,1200000000.0
452,16.0,32.0,2.0,2.0,2.0,8.0,8.0,,0,2,,,14063000000.0,225008000000.0
453,75.0,250.0,4.0,4.0,3.0,4.5,16.0,,0,2,Nội thất đầy đủ,Hẻm xe hơi,7467000000.0,560025000000.0
454,80.0,80.0,3.0,2.0,1.0,4.5,22.0,Tây Nam,0,4,,"Hẻm xe hơi, Nở hậu",70000000.0,5600000000.0
455,61.0,148.0,3.0,2.0,2.0,4.0,15.0,,0,2,,"Hẻm xe hơi, Nở hậu",2197000000.0,134017000000.0
456,52.0,52.0,3.0,2.0,1.0,26.0,26.0,Đông Bắc,0,4,,Hẻm xe hơi,6442000000.0,334984000000.0
457,50.4,50.4,3.0,2.0,1.0,4.2,12.0,Nam,2,4,,Hẻm xe hơi,22000000.0,1108800000.0
458,131.0,131.0,7.0,7.0,1.0,6.0,23.0,,0,2,,Hẻm xe hơi,4046000000.0,530026000000.0
459,30.0,30.0,3.0,3.0,1.0,3.0,10.0,,0,2,,,170000000.0,5100000000.0
460,18.0,18.0,2.0,2.0,2.0,9.0,9.0,,0,2,,Nở hậu,19444000000.0,349992000000.0
461,63.0,126.0,2.0,2.0,1.0,4.5,14.0,,0,2,Nội thất đầy đủ,Hẻm xe hơi,1786000000.0,112518000000.0
462,124.0,124.0,1.0,2.0,1.0,62.0,62.0,,0,1,,,7016000000.0,869984000000.0
463,40.0,100.0,3.0,2.0,3.0,4.0,10.0,,0,2,,Hẻm xe hơi,12125000000.0,485000000000.0
464,80.0,80.0,3.0,2.0,1.0,4.0,20.0,,0,4,,,65000000.0,5200000000.0
465,39.0,74.0,2.0,2.0,1.0,3.5,11.2,,0,2,,,8462000000.0,330018000000.0
466,20.0,50.0,2.0,2.0,2.0,5.0,4.0,,0,1,Nội thất cao cấp,"Hẻm xe hơi, Nở hậu",425000000.0,8500000000.0
467,85.0,85.0,4.0,5.0,2.0,4.5,17.0,,0,1,,,3471000000.0,295035000000.0
468,1002.0,1002.0,3.0,2.0,1.0,21.0,50.0,Đông Bắc,0,4,,"Mặt tiền, Hẻm xe hơi",2495000000.0,2499990000000.0
469,60.0,60.0,1.0,2.0,1.0,4.0,15.0,Đông,2,2,,Hẻm xe hơi,2667000000.0,160020000000.0
470,82.0,320.0,4.0,6.0,3.0,7.0,12.0,Bắc,0,1,Nội thất đầy đủ,Hẻm xe hơi,6524000000.0,534968000000.0
471,32.0,65.0,2.0,2.0,2.0,5.0,6.0,,0,2,,Hẻm xe hơi,11438000000.0,366016000000.0
472,43.0,160.0,3.0,4.0,5.0,4.5,9.5,Tây,0,2,Nội thất đầy đủ,Hẻm xe hơi,15116000000.0,649988000000.0
473,25.0,50.0,2.0,1.0,2.0,32.0,8.0,Đông Bắc,0,2,Hoàn thiện cơ bản,,952000000.0,23800000000.0
474,28.0,28.0,2.0,2.0,2.0,3.0,10.0,,0,2,,,100000000.0,2800000000.0
475,50.0,100.0,3.0,2.0,2.0,35.0,15.0,Đông Bắc,0,2,Nội thất cao cấp,Hẻm xe hơi,62000000.0,3100000000.0
476,65.0,65.0,4.0,5.0,4.0,32.5,32.5,Tây,0,2,,"Hẻm xe hơi, Nở hậu",6692000000.0,434980000000.0
477,127.0,127.0,4.0,2.0,1.0,5.0,25.0,Tây Nam,0,2,,Hẻm xe hơi,311000000.0,39497000000.0
478,60.0,180.0,4.0,5.0,3.0,5.0,12.0,,0,1,Nội thất đầy đủ,"Hẻm xe hơi, Nở hậu",35000000.0,2100000000.0
479,90.0,90.0,6.0,5.0,1.0,6.0,15.0,,0,3,,Hẻm xe hơi,4667000000.0,420030000000.0
480,63.8,245.8,4.0,3.0,3.0,4.5,13.9,,0,2,,Hẻm xe hơi,11508000000.0,734210400000.0
481,213.0,200.0,2.0,2.0,1.0,6.0,34.0,Đông Bắc,0,1,Hoàn thiện cơ bản,Hẻm xe hơi,3521000000.0,749973000000.0
482,44.4,111.0,3.0,2.0,2.0,3.7,12.0,Đông,0,2,,Hẻm xe hơi,15114000000.0,671061600000.0
483,80.0,80.0,3.0,3.0,1.0,5.0,16.0,,0,1,,Hẻm xe hơi,2375000000.0,190000000000.0
484,70.0,70.0,4.0,3.0,3.0,35.0,35.0,,0,1,,Nở hậu,11429000000.0,800030000000.0
485,45.0,90.0,2.0,3.0,2.0,4.0,11.0,Đông Nam,0,1,,Hẻm xe hơi,2489000000.0,112005000000.0
486,208.0,208.0,4.0,5.0,1.0,12.0,17.0,,0,2,,,6635000000.0,1380080000000.0
487,103.0,103.0,3.0,2.0,1.0,4.3,25.0,Đông Bắc,0,4,,,5049000000.0,520047000000.0
488,92.0,92.0,3.0,2.0,1.0,5.0,18.0,,0,4,,Hẻm xe hơi,275000000.0,25300000000.0
